baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_id,name,biotype,description,rank,is_interesting,patient_1,patient_2,patient_3,patient_6,patient_7,patient_8
3343.025048,-3.882854229,0.454242701,-8.547972742,1.25E-17,4.74E-15,ENSG00000151790,TDO2,protein_coding,"tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]",48,no,-5.34925175,-4.871995086,-2.699978982,-2.840298439,-2.760181695,-4.831268757
7377.982416,-3.862165877,0.49854698,-7.746844401,9.42E-15,2.44E-12,ENSG00000182492,BGN,protein_coding,biglycan [Source:HGNC Symbol;Acc:HGNC:1044],49,no,-2.233963107,-3.927032839,-2.732899203,-6.714251298,-4.162329283,-3.871132379
3286.828304,-3.860662331,0.702192127,-5.498014267,3.84E-08,1.88E-06,ENSG00000100652,SLC10A1,protein_coding,solute carrier family 10 member 1 [Source:HGNC Symbol;Acc:HGNC:10905],50,no,-5.045359102,0.825577388,-7.098245959,-5.819435537,-3.103411104,-1.859523201
560.2015268,-3.853065001,0.609873164,-6.31781365,2.65E-10,2.53E-08,ENSG00000085552,IGSF9,protein_coding,immunoglobulin superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:18132],51,no,-5.67625486,-3.867212667,-2.265227544,-1.24277291,-3.615580976,-6.874784994
549.3755761,-3.843175101,0.535725115,-7.173781838,7.30E-13,1.18E-10,ENSG00000186732,MPPED1,protein_coding,metallophosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1306],52,no,-4.644636441,-2.091679417,-2.151063702,-5.408933999,-3.041250185,-5.765773481
19380.4111,-3.84228654,0.659578813,-5.825363803,5.70E-09,3.66E-07,ENSG00000255974,CYP2A6,protein_coding,cytochrome P450 family 2 subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:2610],53,no,-4.807197111,-0.322561053,-6.535119024,-6.07462825,-3.430256019,-1.215051725
4364.249693,-3.832339483,0.433210879,-8.846360207,9.04E-19,4.25E-16,ENSG00000186910,SERPINA11,protein_coding,serpin family A member 11 [Source:HGNC Symbol;Acc:HGNC:19193],54,no,-4.904131949,-3.765079882,-5.464003074,-2.363577819,-3.251746353,-3.334909384
4055.706232,-3.748161755,0.722674456,-5.186514788,2.14E-07,7.98E-06,ENSG00000117594,HSD11B1,protein_coding,hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208],55,no,-4.373610861,1.395784517,-8.654722863,-2.848239614,-3.372495589,-4.429564795
248.7342908,-3.744828738,0.550370603,-6.80419469,1.02E-11,1.31E-09,ENSG00000141293,SKAP1,protein_coding,src kinase associated phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15605],56,no,-2.907869701,-6.503993748,-3.081976219,-5.231046618,-1.815622378,-3.699498529
182.0290625,-3.737499287,0.70411238,-5.308100514,1.11E-07,4.55E-06,ENSG00000109099,PMP22,protein_coding,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118],57,no,0.749652925,-5.474489754,-6.208888332,-5.079209973,-3.398410508,-2.020979208
51.21763179,-3.729646307,0.735139906,-5.073383005,3.91E-07,1.31E-05,ENSG00000177432,NAP1L5,protein_coding,nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968],58,no,-5.514939403,-4.310514019,-4.246363037,-3.410741985,0.514681427,-4.567834103
1303.803175,-3.698146473,0.558453637,-6.622119064,3.54E-11,4.26E-09,ENSG00000137801,THBS1,protein_coding,thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785],59,no,-0.709421724,-4.705531144,-4.327283032,-6.047210476,-3.499933554,-2.613537713
4419.767057,-3.689461375,0.622965412,-5.922417689,3.17E-09,2.22E-07,ENSG00000081041,CXCL2,protein_coding,C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603],60,no,-2.225040312,-0.394004478,-2.948961017,-6.236106773,-4.047228767,-6.236031871
192.9515366,-3.678548582,0.585121198,-6.28681476,3.24E-10,2.99E-08,ENSG00000160883,HK3,protein_coding,hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925],61,no,-4.8486768,-5.358681301,-2.916761014,-4.018465584,-0.256499883,-4.089196442
